claim_id,policy_id,customer_id,claim_date,claim_amount,claim_status,claim_type,description
CL1,P1,C1,2024-03-15,2500.00,APPROVED,COLLISION,Vehicle collision repair costs
CL2,P2,C2,2024-04-20,15000.00,APPROVED,FIRE_DAMAGE,Home fire damage restoration
CL3,P3,C3,2024-05-10,1200.00,PENDING,MINOR_ACCIDENT,Minor vehicle accident repair
CL4,P1,C1,2024-06-01,3500.00,APPROVED,THEFT,Vehicle theft claim
CL5,P5,C4,2024-06-15,8000.00,APPROVED,WATER_DAMAGE,Water damage from pipe burst
CL6,P8,C6,2024-07-05,12000.00,PENDING,FIRE_DAMAGE,Kitchen fire damage
CL7,P9,C7,2024-07-20,1800.00,REJECTED,MINOR_ACCIDENT,Claim rejected due to policy exclusion
CL8,P4,C1,2024-08-01,25000.00,APPROVED,CRITICAL_ILLNESS,Critical illness benefit payout
CL9,P2,C2,2024-08-15,5000.00,APPROVED,BURGLARY,Home burglary claim
CL10,P10,C3,2024-09-01,7500.00,PENDING,WATER_DAMAGE,Basement flooding
CL11,P1,C1,2024-09-10,950.00,APPROVED,WINDSHIELD,Windshield replacement
CL12,P6,C5,2024-09-20,2200.00,PENDING,MINOR_ACCIDENT,Parking lot incident
